,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
,97,Mozambique,"146,754",,"1,866 ",,"134,400",,"10,488",32,"4,547",58,"853,959","26,460","32,273,067 ",Africa,"22017,29538",,,325,
,98,Latvia,"143,106",,"2,579 ",,"137,939",,"2,588",18,"76,864","1,385","3,573,273","1,919,248","1,861,809 ",Europe,137221,,,"1,390",
,99,Estonia,"142,363",,"1,293 ",,"134,004",,"7,066",15,"107,235",974,"1,758,146","1,324,327","1,327,577 ",Europe,"91,0271",,,"5,322",
,100,Finland,"127,861",,"1,030 ",,"46,000",,"80,831",21,"23,035",186,"6,595,400","1,188,195","5,550,771 ",Europe,"435,3891",,,"14,562",
,101,Namibia,"125,136",,"3,386 ",,"119,448",,"2,302",24,"48,231","1,305","661,329","254,898","2,594,488 ",Africa,217664,,,887,
,102,Zimbabwe,"124,960",,"4,438 ",,"113,527",,"6,995",12,"8,267",294,"1,274,638","84,329","15,115,041 ",Africa,"1213,40612",,,463,
,103,Uganda,"120,075",,"3,023 ",,"95,578",,"21,474",449,"2,532",64,"1,583,298","33,390","47,418,518 ",Africa,"39515,68630",,,453,
,104,Ghana,"119,436",,"1,036 ",,"111,249",,"7,151",54,"3,753",33,"1,598,732","50,231","31,827,801 ",Africa,"26630,72220",,,225,
,105,Montenegro,"115,956",,"1,732 ",,"105,887",,"8,337",11,"184,597","2,757","623,681","992,871","628,159 ",Europe,53631,,,"13,272",
,106,Cyprus,"114,131",,507 ,,"90,755",,"22,869",58,"93,733",416,"9,366,973","7,692,892","1,217,614 ",Asia,"112,4020",,,"18,782",
,107,El Salvador,"96,067",,"2,926 ",,"81,339",,"11,802",133,"14,724",448,"1,221,446","187,212","6,524,404 ",North America,"682,2305",,,"1,809",
,108,Cambodia,"93,926",+416,"1,928 ",+12,"89,500",+386,"2,498",,"5,529",113,"2,116,688","124,594","16,988,620 ",Asia,"1818,8128",24,0.7,147,
,109,Rwanda,"88,197",,"1,097 ",,"45,313",,"41,787",33,"6,619",82,"2,461,586","184,726","13,325,584 ",Africa,"15112,1475",,,"3,136",
,110,Cameroon,"84,210",,"1,357 ",,"80,433",,"2,420",152,"3,083",50,"1,751,774","64,134","27,314,264 ",Africa,"32420,12816",,,89,
